coluna,dtype,target,nao_nulos,missing_pct,unicos,exemplo
valorHomologado,float64,True,1960,0.0,1770,108102.21
proc__formaJulgamento,object,False,1960,0.0,31,MENOR PRECO POR ITEM
proc__numeroProcesso,int64,False,1960,0.0,398,12
proc__situacao,object,False,1960,0.0,5,HOMOLOGADO
proc__tipoObjeto,object,False,1960,0.0,12,Compras e Serviços
proc__objeto,object,False,1960,0.0,1865,"A presente licitação tem por objetivo a aquisição de equipamentos médico-hospitalares, instrumentais odontológicos, mobi"
proc__registroPrecos,object,False,1960,0.0,2,NÃO
proc__dataCriacao,object,False,1960,0.0,1059,2015-02-05
proc__nomeEntidade,object,False,1960,0.0,7,FUNDO MUNICIPAL DE SAUDE DE CRICIUMA
proc__anoLicitacao,int64,False,1960,0.0,11,2015
proc__numeroLicitacao,int64,False,1960,0.0,398,12
proc__estadoCertame,object,False,1960,0.0,1,SC
proc__valorEstimado,float64,False,1960,0.0,1756,239947.0
proc__anoProcesso,int64,False,1960,0.0,11,2015
proc__formaContratacao,object,False,1960,0.0,3,Licitação
proc__modalidade,object,False,1960,0.0,13,Pregão presencial
anoArquivo,int64,False,1960,0.0,11,2015
source_file,object,False,1960,0.0,11,Processos Licitatórios Finalizados-2015.json
agg__despesas__count,int64,False,1960,0.0,40,4
agg__participantes__count,int64,False,1960,0.0,54,27
agg__documentosRelacionados__count,int64,False,1960,0.0,28,0
agg__empenhos__count,int64,False,1960,0.0,76,0
agg__contratos__count,int64,False,1960,0.0,19,17
agg__itensVencedores__count,int64,False,1960,0.0,168,116
proc__dataCriacao__year,int32,False,1960,0.0,11,2015
proc__dataCriacao__month,int32,False,1960,0.0,12,2
proc__dataCriacao__quarter,int32,False,1960,0.0,4,1
proc__dataCriacao__dayofweek,int32,False,1960,0.0,7,3
proc__dataCriacao__ordinal,int64,False,1960,0.0,1059,735634
agg__participantes__formaParticipacao__nunique,float64,False,1959,0.0005,2,1.0
agg__participantes__nomeFonecedor__nunique,float64,False,1959,0.0005,54,27.0
agg__participantes__cnpjCpfFornecedor__nunique,float64,False,1959,0.0005,53,27.0
agg__participantes__itensProposta__valorTotal__sum,float64,False,1956,0.002,1752,72202.0
agg__participantes__itensProposta__valorTotal__mean,float64,False,1956,0.002,1776,2256.3125
agg__participantes__itensProposta__valorTotal__max,float64,False,1956,0.002,1678,11600.0
agg__participantes__itensProposta__quantidade__sum,float64,False,1956,0.002,795,205.0
agg__participantes__itensProposta__quantidade__mean,float64,False,1956,0.002,887,6.40625
agg__participantes__itensProposta__quantidade__max,float64,False,1956,0.002,390,43.0
agg__participantes__itensProposta__valorUnitario__sum,float64,False,1956,0.002,1769,20707.0
agg__participantes__itensProposta__valorUnitario__mean,float64,False,1956,0.002,1766,647.09375
agg__participantes__itensProposta__valorUnitario__max,float64,False,1956,0.002,1605,5800.0
agg__participantes__itensProposta__count,float64,False,1956,0.002,307,728.0
agg__itensVencedores__valorTotalVencedor__sum,float64,False,1955,0.0026,1780,108102.20999999998
agg__itensVencedores__valorTotalVencedor__mean,float64,False,1955,0.0026,1803,931.9156034482756
agg__itensVencedores__valorTotalVencedor__max,float64,False,1955,0.0026,1684,11200.0
agg__itensVencedores__valorTotalVencedor__min,float64,False,1955,0.0026,1646,7.64
agg__itensVencedores__valorUnitarioReferencia__sum,float64,False,1955,0.0026,1759,92354.55
agg__itensVencedores__valorUnitarioReferencia__mean,float64,False,1955,0.0026,1763,796.1599137931034
agg__itensVencedores__valorUnitarioReferencia__max,float64,False,1955,0.0026,1573,14700.0
agg__itensVencedores__valorUnitarioReferencia__min,float64,False,1955,0.0026,1410,4.7
agg__itensVencedores__valorTotalReferencia__sum,float64,False,1955,0.0026,1765,239947.0
agg__itensVencedores__valorTotalReferencia__mean,float64,False,1955,0.0026,1774,2068.5086206896553
agg__itensVencedores__valorTotalReferencia__max,float64,False,1955,0.0026,1618,19800.0
agg__itensVencedores__valorTotalReferencia__min,float64,False,1955,0.0026,1588,10.6
agg__itensVencedores__numero__sum,float64,False,1955,0.0026,325,6797.0
agg__itensVencedores__numero__mean,float64,False,1955,0.0026,320,58.5948275862069
agg__itensVencedores__numero__max,float64,False,1955,0.0026,172,119.0
agg__itensVencedores__numero__min,float64,False,1955,0.0026,14,1.0
agg__itensVencedores__valorUnitarioVencedor__sum,float64,False,1955,0.0026,1802,49794.840000000004
agg__itensVencedores__valorUnitarioVencedor__mean,float64,False,1955,0.0026,1799,429.26586206896553
agg__itensVencedores__valorUnitarioVencedor__max,float64,False,1955,0.0026,1637,11200.0
agg__itensVencedores__valorUnitarioVencedor__min,float64,False,1955,0.0026,1462,1.95
agg__itensVencedores__quantidade__sum,float64,False,1955,0.0026,880,773.0
agg__itensVencedores__quantidade__mean,float64,False,1955,0.0026,970,6.663793103448276
agg__itensVencedores__quantidade__max,float64,False,1955,0.0026,404,43.0
agg__itensVencedores__quantidade__min,float64,False,1955,0.0026,215,1.0
agg__itensVencedores__cnpjCpfVencedor__nunique,float64,False,1955,0.0026,32,16.0
agg__itensVencedores__numero__nunique,float64,False,1955,0.0026,168,116.0
agg__itensVencedores__participanteVencedor__nunique,float64,False,1955,0.0026,33,16.0
proc__dataHomologacao,object,False,1950,0.0051,1066,2015-04-07
proc__dataHomologacao__year,float64,False,1950,0.0051,12,2015.0
proc__dataHomologacao__month,float64,False,1950,0.0051,12,4.0
proc__dataHomologacao__quarter,float64,False,1950,0.0051,4,2.0
proc__dataHomologacao__dayofweek,float64,False,1950,0.0051,6,1.0
proc__dataHomologacao__ordinal,float64,False,1950,0.0051,1066,735695.0
dias_criacao_ate_homologacao,float64,False,1950,0.0051,195,61.0
proc__dataPublicacao,object,False,1949,0.0056,1099,2015-02-10
proc__meioDivulgacao,object,False,1949,0.0056,11,INTERNET
proc__dataPublicacao__year,float64,False,1949,0.0056,12,2015.0
proc__dataPublicacao__month,float64,False,1949,0.0056,12,2.0
proc__dataPublicacao__quarter,float64,False,1949,0.0056,4,1.0
proc__dataPublicacao__dayofweek,float64,False,1949,0.0056,7,1.0
proc__dataPublicacao__ordinal,float64,False,1949,0.0056,1099,735639.0
dias_criacao_ate_publicacao,float64,False,1949,0.0056,127,5.0
agg__participantes__itensProposta__id__sum,float64,False,1948,0.0061,1349,141681063.0
agg__participantes__itensProposta__id__mean,float64,False,1948,0.0061,1349,4427533.21875
agg__participantes__itensProposta__id__max,float64,False,1948,0.0061,1349,4427612.0
proc__enderecoEntrega,object,False,1942,0.0092,5,Rua Domênico Sônego
proc__fundamentoLegal,object,False,1942,0.0092,36,
proc__emailContato,object,False,1942,0.0092,4,saude@criciuma.sc.gov.br
proc__enderecoCertame,object,False,1942,0.0092,5,Rua Domênico Sônego
agg__itensVencedores__codigo__sum,float64,False,1939,0.0107,1715,287666249.0
agg__itensVencedores__codigo__mean,float64,False,1939,0.0107,1711,2479881.456896552
agg__itensVencedores__codigo__max,float64,False,1939,0.0107,1602,120600449.0
agg__itensVencedores__codigo__min,float64,False,1939,0.0107,1525,459.0
agg__itensVencedores__codigo__nunique,float64,False,1939,0.0107,154,116.0
proc__inicioRecebimentoEnvelopes,object,False,1928,0.0163,1209,2015-02-26T08:00:00Z
proc__dataAberturaEnvelopes,object,False,1928,0.0163,1764,2015-02-26T09:01:00Z
proc__inicioRecebimentoEnvelopes__year,float64,False,1928,0.0163,12,2015.0
proc__inicioRecebimentoEnvelopes__month,float64,False,1928,0.0163,12,2.0
proc__inicioRecebimentoEnvelopes__quarter,float64,False,1928,0.0163,4,1.0
proc__inicioRecebimentoEnvelopes__dayofweek,float64,False,1928,0.0163,7,3.0
proc__inicioRecebimentoEnvelopes__ordinal,float64,False,1928,0.0163,1149,735655.0
proc__dataAberturaEnvelopes__year,float64,False,1928,0.0163,13,2015.0
proc__dataAberturaEnvelopes__month,float64,False,1928,0.0163,12,2.0
proc__dataAberturaEnvelopes__quarter,float64,False,1928,0.0163,4,1.0
proc__dataAberturaEnvelopes__dayofweek,float64,False,1928,0.0163,6,3.0
proc__dataAberturaEnvelopes__ordinal,float64,False,1928,0.0163,1203,735655.0
proc__terminoRecebimentoEnvelopes,object,False,1927,0.0168,1763,2015-02-26T09:00:00Z
proc__dataJulgamento,object,False,1927,0.0168,1202,2015-02-26
proc__terminoRecebimentoEnvelopes__year,float64,False,1927,0.0168,13,2015.0
proc__terminoRecebimentoEnvelopes__month,float64,False,1927,0.0168,12,2.0
proc__terminoRecebimentoEnvelopes__quarter,float64,False,1927,0.0168,4,1.0
proc__terminoRecebimentoEnvelopes__dayofweek,float64,False,1927,0.0168,5,3.0
proc__terminoRecebimentoEnvelopes__ordinal,float64,False,1927,0.0168,1201,735655.0
proc__dataJulgamento__year,float64,False,1927,0.0168,13,2015.0
proc__dataJulgamento__month,float64,False,1927,0.0168,12,2.0
proc__dataJulgamento__quarter,float64,False,1927,0.0168,4,1.0
proc__dataJulgamento__dayofweek,float64,False,1927,0.0168,6,3.0
proc__dataJulgamento__ordinal,float64,False,1927,0.0168,1202,735655.0
dias_criacao_ate_julgamento,float64,False,1927,0.0168,146,21.0
dias_recebimento_envelopes,float64,False,1927,0.0168,347,0.041666666666666664
agg__participantes__itensProposta__situacao__venceu__count,float64,False,1926,0.0173,167,116.0
dias_abertura_ate_homologacao,float64,False,1918,0.0214,478,39.62430555555556
agg__itensVencedores__unidadeMedida__nunique,float64,False,1854,0.0541,26,5.0
agg__itensVencedores__descricao__nunique,float64,False,1854,0.0541,154,116.0
agg__despesas__ano__sum,float64,False,1323,0.325,143,8060.0
agg__despesas__ano__mean,float64,False,1323,0.325,16,2015.0
agg__despesas__ano__max,float64,False,1323,0.325,11,2015.0
agg__despesas__ano__min,float64,False,1323,0.325,11,2015.0
agg__despesas__id__sum,float64,False,1323,0.325,232,0.0
agg__despesas__id__mean,float64,False,1323,0.325,215,0.0
agg__despesas__id__max,float64,False,1323,0.325,114,0.0
agg__despesas__id__min,float64,False,1323,0.325,90,0.0
agg__despesas__funcao__nunique,float64,False,1323,0.325,11,1.0
agg__despesas__orgao__nunique,float64,False,1323,0.325,11,1.0
agg__despesas__numeroElemento__nunique,float64,False,1323,0.325,4,2.0
agg__despesas__programa__nunique,float64,False,1323,0.325,11,1.0
agg__despesas__id__nunique,float64,False,1323,0.325,23,1.0
agg__despesas__acao__nunique,float64,False,1323,0.325,25,2.0
agg__despesas__subfuncao__nunique,float64,False,1323,0.325,13,1.0
agg__despesas__descricaoElemento__nunique,float64,False,1310,0.3316,1,1.0
agg__despesas__funcao__sum,float64,False,1307,0.3332,112,40.0
agg__despesas__funcao__mean,float64,False,1307,0.3332,93,10.0
agg__despesas__funcao__max,float64,False,1307,0.3332,14,10.0
agg__despesas__funcao__min,float64,False,1307,0.3332,15,10.0
agg__despesas__numeroElemento__sum,float64,False,1307,0.3332,107,157600000.0
agg__despesas__numeroElemento__mean,float64,False,1307,0.3332,57,39400000.0
agg__despesas__numeroElemento__max,float64,False,1307,0.3332,7,44900000.0
agg__despesas__numeroElemento__min,float64,False,1307,0.3332,9,33900000.0
agg__despesas__programa__sum,float64,False,1307,0.3332,191,4196.0
agg__despesas__programa__mean,float64,False,1307,0.3332,111,1049.0
agg__despesas__programa__max,float64,False,1307,0.3332,24,1049.0
agg__despesas__programa__min,float64,False,1307,0.3332,22,1049.0
agg__despesas__acao__sum,float64,False,1307,0.3332,454,4724.0
agg__despesas__acao__mean,float64,False,1307,0.3332,318,1181.0
agg__despesas__acao__max,float64,False,1307,0.3332,116,1182.0
agg__despesas__acao__min,float64,False,1307,0.3332,105,1180.0
agg__despesas__subfuncao__sum,float64,False,1307,0.3332,235,1204.0
agg__despesas__subfuncao__mean,float64,False,1307,0.3332,168,301.0
agg__despesas__subfuncao__max,float64,False,1307,0.3332,27,301.0
agg__despesas__subfuncao__min,float64,False,1307,0.3332,27,301.0
agg__contratos__ano__sum,float64,False,1297,0.3383,93,34255.0
agg__contratos__ano__mean,float64,False,1297,0.3383,18,2015.0
agg__contratos__ano__max,float64,False,1297,0.3383,12,2015.0
agg__contratos__ano__min,float64,False,1297,0.3383,13,2015.0
agg__contratos__valor__sum,float64,False,1297,0.3383,1179,108987.21
agg__contratos__valor__mean,float64,False,1297,0.3383,1179,6411.012352941177
agg__contratos__valor__max,float64,False,1297,0.3383,1168,19401.0
agg__contratos__valor__min,float64,False,1297,0.3383,1162,139.68
agg__contratos__dataVigenciaInicial__nunique,float64,False,1297,0.3383,5,1.0
agg__contratos__numero__nunique,float64,False,1297,0.3383,18,16.0
agg__contratos__objeto__nunique,float64,False,1297,0.3383,6,1.0
agg__contratos__nomeContratado__nunique,float64,False,1297,0.3383,18,16.0
agg__contratos__dataVigenciaFinal__nunique,float64,False,1297,0.3383,3,1.0
agg__contratos__dataAssinatura__nunique,float64,False,1297,0.3383,5,1.0
agg__contratos__nomeEntidade__nunique,float64,False,1297,0.3383,6,1.0
agg__contratos__cnpjCpfContratado__nunique,float64,False,1297,0.3383,18,16.0
agg__documentosRelacionados__tipo__nunique,float64,False,1297,0.3383,13,1.0
agg__documentosRelacionados__arquivo__nunique,float64,False,1297,0.3383,27,1.0
agg__documentosRelacionados__descricao__nunique,float64,False,1297,0.3383,27,1.0
agg__contratos__dataVigenciaInicial__nunique__year,float64,False,1297,0.3383,1,1970.0
agg__contratos__dataVigenciaInicial__nunique__month,float64,False,1297,0.3383,1,1.0
agg__contratos__dataVigenciaInicial__nunique__quarter,float64,False,1297,0.3383,1,1.0
agg__contratos__dataVigenciaInicial__nunique__dayofweek,float64,False,1297,0.3383,1,3.0
agg__contratos__dataVigenciaInicial__nunique__ordinal,float64,False,1297,0.3383,1,719163.0
agg__contratos__dataVigenciaFinal__nunique__year,float64,False,1297,0.3383,1,1970.0
agg__contratos__dataVigenciaFinal__nunique__month,float64,False,1297,0.3383,1,1.0
agg__contratos__dataVigenciaFinal__nunique__quarter,float64,False,1297,0.3383,1,1.0
agg__contratos__dataVigenciaFinal__nunique__dayofweek,float64,False,1297,0.3383,1,3.0
agg__contratos__dataVigenciaFinal__nunique__ordinal,float64,False,1297,0.3383,1,719163.0
agg__contratos__dataAssinatura__nunique__year,float64,False,1297,0.3383,1,1970.0
agg__contratos__dataAssinatura__nunique__month,float64,False,1297,0.3383,1,1.0
agg__contratos__dataAssinatura__nunique__quarter,float64,False,1297,0.3383,1,1.0
agg__contratos__dataAssinatura__nunique__dayofweek,float64,False,1297,0.3383,1,3.0
agg__contratos__dataAssinatura__nunique__ordinal,float64,False,1297,0.3383,1,719163.0
agg__documentosRelacionados__data__nunique,float64,False,1295,0.3393,6,1.0
agg__documentosRelacionados__data__nunique__year,float64,False,1295,0.3393,1,1970.0
agg__documentosRelacionados__data__nunique__month,float64,False,1295,0.3393,1,1.0
agg__documentosRelacionados__data__nunique__quarter,float64,False,1295,0.3393,1,1.0
agg__documentosRelacionados__data__nunique__dayofweek,float64,False,1295,0.3393,1,3.0
agg__documentosRelacionados__data__nunique__ordinal,float64,False,1295,0.3393,1,719163.0
agg__contratos__numero__sum,float64,False,1293,0.3403,406,1535.0
agg__contratos__numero__mean,float64,False,1293,0.3403,452,90.29411764705883
agg__contratos__numero__max,float64,False,1293,0.3403,346,98.0
agg__contratos__numero__min,float64,False,1293,0.3403,343,83.0
agg__participantes__itensProposta__situacao__perdeu__count,float64,False,1290,0.3418,224,224.0
agg__despesas__fonteRecurso__nunique,float64,False,1249,0.3628,14,1.0
agg__participantes__representanteCertame__nunique,float64,False,1148,0.4143,41,14.0
agg__participantes__responsavelFornecedor__nunique,float64,False,1136,0.4204,41,14.0
agg__participantes__itensProposta__situacao__desclassificado__count,float64,False,460,0.7653,117,273.0
agg__empenhos__ano__sum,float64,False,255,0.8699,172,16168.0
agg__empenhos__ano__mean,float64,False,255,0.8699,106,2021.0
agg__empenhos__ano__max,float64,False,255,0.8699,6,2021.0
agg__empenhos__ano__min,float64,False,255,0.8699,6,2021.0
agg__empenhos__numero__sum,float64,False,255,0.8699,254,39032.0
agg__empenhos__numero__mean,float64,False,255,0.8699,255,4879.0
agg__empenhos__numero__max,float64,False,255,0.8699,253,4885.0
agg__empenhos__numero__min,float64,False,255,0.8699,245,4858.0
agg__empenhos__valor__sum,float64,False,255,0.8699,255,233944.63
agg__empenhos__valor__mean,float64,False,255,0.8699,255,29243.07875
agg__empenhos__valor__max,float64,False,255,0.8699,255,65071.2
agg__empenhos__valor__min,float64,False,255,0.8699,220,3495.0
agg__empenhos__nomeCredor__nunique,float64,False,255,0.8699,22,8.0
agg__empenhos__tipo__nunique,float64,False,255,0.8699,1,1.0
agg__empenhos__numero__nunique,float64,False,255,0.8699,73,8.0
agg__empenhos__dataEmissao__nunique,float64,False,255,0.8699,34,2.0
agg__empenhos__dataEmissao__nunique__year,float64,False,255,0.8699,1,1970.0
agg__empenhos__dataEmissao__nunique__month,float64,False,255,0.8699,1,1.0
agg__empenhos__dataEmissao__nunique__quarter,float64,False,255,0.8699,1,1.0
agg__empenhos__dataEmissao__nunique__dayofweek,float64,False,255,0.8699,1,3.0
agg__empenhos__dataEmissao__nunique__ordinal,float64,False,255,0.8699,1,719163.0
agg__participantes__itensProposta__situacao__inabilitado__count,float64,False,243,0.876,64,114.0
agg__participantes__itensProposta__situacao__cancelado__count,float64,False,116,0.9408,33,1.0
agg__participantes__itensProposta__situacao__desclassificado_lance__count,float64,False,35,0.9821,26,8.0
agg__participantes__itensProposta__situacao__credenciado__count,float64,False,29,0.9852,9,55.0
proc__cidadeCertame,object,False,18,0.9908,1,Criciúma
proc__telefoneContato,object,False,18,0.9908,1,3431-0389
proc__nomeContato,object,False,18,0.9908,1,NELI SEHNEM DOS SANTOS
agg__participantes__idFornecedor__sum,float64,False,17,0.9913,16,164795911000380.0
agg__participantes__idFornecedor__mean,float64,False,17,0.9913,16,82397955500190.0
agg__participantes__idFornecedor__max,float64,False,17,0.9913,12,86942828000184.0
agg__participantes__idFornecedor__min,float64,False,17,0.9913,11,77853083000196.0
agg__participantes__idFornecedor__nunique,float64,False,17,0.9913,8,2.0
agg__documentosRelacionados__numero__nunique,float64,False,17,0.9913,1,1.0
agg__despesas__unidade__nunique,float64,False,16,0.9918,1,1.0
agg__despesas__portaria__nunique,float64,False,16,0.9918,1,1.0
proc__dataRevogacao,object,False,15,0.9923,15,2015-12-18
proc__motivoRevogacao,object,False,15,0.9923,3,Razões de Interesse Público
proc__adesao__modalidadeProcessoOrigem,object,False,7,0.9964,1,Pregão eletrônico
proc__adesao__cnpjOrgaoOrigem,object,False,7,0.9964,2,12.075.748/0001-32
proc__adesao__numeroLicitacaoOrigem,float64,False,7,0.9964,3,93.0
proc__adesao__orgaoOrigem,object,False,7,0.9964,2,CINCATARINA
proc__adesao__numeroAtaOrigem,object,False,7,0.9964,1,
proc__adesao__anoProcessoOrigem,float64,False,7,0.9964,2,2023.0
proc__adesao__numeroProcessoOrigem,float64,False,7,0.9964,3,93.0
agg__contratos__situacao__nunique,float64,False,4,0.998,1,1.0
agg__participantes__itensProposta__situacao__não_cotou__count,float64,False,4,0.998,4,172.0
agg__participantes__itensProposta__situacao__ex_vencedor__count,float64,False,3,0.9985,2,3.0
agg__participantes__itensProposta__situacao__classificado_lance__count,float64,False,2,0.999,2,2.0
agg__participantes__itensProposta__situacao__nao_analisado__count,float64,False,1,0.9995,1,1.0
proc__motivoAnulacao,object,False,1,0.9995,1,Ilegalidade
proc__dataAnulacao,object,False,1,0.9995,1,2020-01-08
agg__participantes__itensProposta__situacao__ex-vencedor__count,float64,False,1,0.9995,1,26.0
agg__participantes__itensProposta__situacao__não_analisado__count,float64,False,1,0.9995,1,70.0
proc__adesao__dataAvisoProcessoOrigem,float64,False,0,1.0,0,
proc__adesao__dataAtaOrigem,float64,False,0,1.0,0,
proc__adesao__dataAutorizacao,float64,False,0,1.0,0,
proc__adesao__dataValidadeAta,float64,False,0,1.0,0,
